"year","age","week","deaths","pop_start","pop_end","weekMax","season","pop_midweek","exposure"
2006,"65-69",50,1368,5374399,5459176,52,0.951923076923077,5455100.18269231,104905.772744083
2006,"65-69",51,1484,5374399,5459176,52,0.971153846153846,5456730.50961538,104937.125184911
2006,"65-69",52,1445,5374399,5459176,52,0.990384615384615,5458360.83653846,104968.47762574
2006,"70-74",1,1760,3759730,3971995,52,0.00961538461538462,3761771.00961538,72341.7501849112
2006,"70-74",2,1771,3759730,3971995,52,0.0288461538461538,3765853.02884615,72420.2505547337
2006,"70-74",3,1765,3759730,3971995,52,0.0480769230769231,3769935.04807692,72498.7509245562
2006,"70-74",4,1760,3759730,3971995,52,0.0673076923076923,3774017.06730769,72577.2512943787
2006,"70-74",5,1727,3759730,3971995,52,0.0865384615384615,3778099.08653846,72655.7516642012
2006,"70-74",6,1806,3759730,3971995,52,0.105769230769231,3782181.10576923,72734.2520340237
2006,"70-74",7,1749,3759730,3971995,52,0.125,3786263.125,72812.7524038462
2006,"70-74",8,1731,3759730,3971995,52,0.144230769230769,3790345.14423077,72891.2527736686
2006,"70-74",9,1735,3759730,3971995,52,0.163461538461538,3794427.16346154,72969.7531434911
2006,"70-74",10,1853,3759730,3971995,52,0.182692307692308,3798509.18269231,73048.2535133136
2006,"70-74",11,1718,3759730,3971995,52,0.201923076923077,3802591.20192308,73126.7538831361
2006,"70-74",12,1797,3759730,3971995,52,0.221153846153846,3806673.22115385,73205.2542529586
2006,"70-74",13,1728,3759730,3971995,52,0.240384615384615,3810755.24038462,73283.7546227811
2006,"70-74",14,1685,3759730,3971995,52,0.259615384615385,3814837.25961538,73362.2549926036
2006,"70-74",15,1726,3759730,3971995,52,0.278846153846154,3818919.27884615,73440.755362426
2006,"70-74",16,1685,3759730,3971995,52,0.298076923076923,3823001.29807692,73519.2557322485
2006,"70-74",17,1691,3759730,3971995,52,0.317307692307692,3827083.31730769,73597.756102071
2006,"70-74",18,1726,3759730,3971995,52,0.336538461538462,3831165.33653846,73676.2564718935
2006,"70-74",19,1744,3759730,3971995,52,0.355769230769231,3835247.35576923,73754.756841716
2006,"70-74",20,1606,3759730,3971995,52,0.375,3839329.375,73833.2572115385
2006,"70-74",21,1544,3759730,3971995,52,0.394230769230769,3843411.39423077,73911.757581361
2006,"70-74",22,1582,3759730,3971995,52,0.413461538461538,3847493.41346154,73990.2579511834
2006,"70-74",23,1710,3759730,3971995,52,0.432692307692308,3851575.43269231,74068.7583210059
2006,"70-74",24,1683,3759730,3971995,52,0.451923076923077,3855657.45192308,74147.2586908284
2006,"70-74",25,1591,3759730,3971995,52,0.471153846153846,3859739.47115385,74225.7590606509
2006,"70-74",26,1552,3759730,3971995,52,0.490384615384615,3863821.49038462,74304.2594304734
2006,"70-74",27,1757,3759730,3971995,52,0.509615384615385,3867903.50961538,74382.7598002959
2006,"70-74",28,1692,3759730,3971995,52,0.528846153846154,3871985.52884615,74461.2601701183
2006,"70-74",29,1887,3759730,3971995,52,0.548076923076923,3876067.54807692,74539.7605399408
2006,"70-74",30,1896,3759730,3971995,52,0.567307692307692,3880149.56730769,74618.2609097633
2006,"70-74",31,1622,3759730,3971995,52,0.586538461538462,3884231.58653846,74696.7612795858
2006,"70-74",32,1578,3759730,3971995,52,0.605769230769231,3888313.60576923,74775.2616494083
2006,"70-74",33,1623,3759730,3971995,52,0.625,3892395.625,74853.7620192308
2006,"70-74",34,1620,3759730,3971995,52,0.644230769230769,3896477.64423077,74932.2623890533
2006,"70-74",35,1663,3759730,3971995,52,0.663461538461538,3900559.66346154,75010.7627588757
2006,"70-74",36,1674,3759730,3971995,52,0.682692307692308,3904641.68269231,75089.2631286982
2006,"70-74",37,1715,3759730,3971995,52,0.701923076923077,3908723.70192308,75167.7634985207
2006,"70-74",38,1631,3759730,3971995,52,0.721153846153846,3912805.72115385,75246.2638683432
2006,"70-74",39,1638,3759730,3971995,52,0.740384615384615,3916887.74038462,75324.7642381657
2006,"70-74",40,1604,3759730,3971995,52,0.759615384615385,3920969.75961538,75403.2646079882
2006,"70-74",41,1612,3759730,3971995,52,0.778846153846154,3925051.77884615,75481.7649778107
2006,"70-74",42,1710,3759730,3971995,52,0.798076923076923,3929133.79807692,75560.2653476331
2006,"70-74",43,1682,3759730,3971995,52,0.817307692307692,3933215.81730769,75638.7657174556
