year,age,population,quality
2007,71,926983,e
2007,72,881776,e
2007,73,807265,e
2007,74,638909,e
2007,75,623106,e
2007,76,620758,e
2007,77,635869,e
2007,78,597444,e
2007,79,571745,e
2007,80,513056,e
2007,81,480678,e
2007,82,449941,e
2007,83,393333,e
2007,84,355099,e
2007,85,336659,e
2007,86,315233,e
2007,87,271184,e
2007,88,179125,e
2007,89,99961,e
2007,90,532867,e
2008,0,683350,e
2008,1,688205,e
2008,2,676795,e
2008,3,689055,e
2008,4,707767,e
2008,5,708961,e
2008,6,721364,e
2008,7,738257,e
2008,8,771931,e
2008,9,774484,e
2008,10,790980,e
2008,11,816759,e
2008,12,802868,e
2008,13,778980,e
2008,14,789350,e
2008,15,821725,e
2008,16,844154,e
2008,17,878572,e
2008,18,969220,e
2008,19,965959,e
2008,20,1002389,e
2008,21,989509,e
2008,22,982397,e
2008,23,960436,e
2008,24,965108,e
2008,25,978716,e
2008,26,1008347,e
2008,27,1007662,e
2008,28,1018060,e
2008,29,971407,e
2008,30,959710,e
2008,31,952482,e
2008,32,940425,e
2008,33,917670,e
2008,34,932383,e
2008,35,943717,e
2008,36,1036781,e
2008,37,1145602,e
2008,38,1199102,e
2008,39,1288341,e
2008,40,1350555,e
2008,41,1385779,e
2008,42,1424256,e
2008,43,1433621,e
2008,44,1458688,e
2008,45,1450926,e
2008,46,1406185,e
2008,47,1385462,e
2008,48,1347055,e
2008,49,1304418,e
2008,50,1237602,e
2008,51,1211829,e
2008,52,1181955,e
2008,53,1147173,e
2008,54,1127912,e
2008,55,1092617,e
2008,56,1094070,e
2008,57,1071281,e
2008,58,1076343,e
2008,59,1037905,e
2008,60,951651,e
2008,61,894146,e
2008,62,780604,e
2008,63,689175,e
2008,64,913155,e
2008,65,925168,e
2008,66,897432,e
2008,67,1082064,e
2008,68,1134524,e
2008,69,1105369,e
2008,70,1023231,e
2008,71,945240,e
2008,72,907323,e
2008,73,860695,e
2008,74,785767,e
2008,75,620088,e
2008,76,602648,e
2008,77,598135,e
2008,78,609940,e
2008,79,570277,e
2008,80,542723,e
2008,81,484125,e
2008,82,450513,e
2008,83,418497,e
2008,84,362878,e
2008,85,323882,e
2008,86,302863,e
2008,87,279844,e
2008,88,236749,e
2008,89,153655,e
2008,90,505383,e
2009,0,665151,e
2009,1,687796,e
2009,2,689510,e
2009,3,677640,e
2009,4,689511,e
2009,5,707731,e
2009,6,708024,e
2009,7,721083,e
2009,8,738558,e
2009,9,772331,e
2009,10,774359,e
2009,11,791311,e
2009,12,816842,e
2009,13,803332,e
2009,14,779455,e
2009,15,790121,e
2009,16,823424,e
2009,17,845514,e
2009,18,882016,e
2009,19,975997,e
2009,20,974478,e
2009,21,1010343,e
2009,22,996465,e
2009,23,988341,e
2009,24,964830,e
2009,25,967824,e
2009,26,979347,e
2009,27,1008035,e
2009,28,1006705,e
2009,29,1016509,e
2009,30,969371,e
2009,31,957707,e
2009,32,950558,e
2009,33,938277,e
2009,34,915344,e
2009,35,929932,e
2009,36,941388,e
2009,37,1034274,e
2009,38,1142479,e
2009,39,1195999,e
2009,40,1285204,e
2009,41,1347487,e
2009,42,1382125,e
2009,43,1420253,e
2009,44,1429511,e
2009,45,1454265,e
2009,46,1446203,e
2009,47,1401084,e
2009,48,1380276,e
2009,49,1341482,e
2009,50,1298855,e
2009,51,1232064,e
2009,52,1205857,e
2009,53,1175744,e
2009,54,1140687,e
2009,55,1120993,e
2009,56,1085620,e
2009,57,1086385,e
2009,58,1063258,e
2009,59,1067656,e
2009,60,1028292,e
2009,61,942293,e
2009,62,884708,e
2009,63,771710,e
2009,64,680591,e
2009,65,901472,e
2009,66,912614,e
2009,67,884580,e
2009,68,1065742,e
2009,69,1116101,e
2009,70,1085802,e
2009,71,1003830,e
2009,72,925348,e
2009,73,886392,e
2009,74,838552,e
2009,75,763265,e
2009,76,599845,e
2009,77,581029,e
2009,78,573960,e
2009,79,582517,e
2009,80,541417,e
2009,81,512151,e
2009,82,453700,e
2009,83,418992,e
2009,84,385635,e
2009,85,330845,e
2009,86,291701,e
2009,87,268663,e
2009,88,244458,e
2009,89,203267,e
2009,90,529864,e
2010,0,678233,e
2010,1,670614,e
2010,2,690118,e
2010,3,691188,e
2010,4,678967,e
2010,5,690501,e
2010,6,707769,e
2010,7,708585,e
2010,8,721979,e
2010,9,739511,e
2010,10,773329,e
2010,11,775389,e
2010,12,792329,e
2010,13,818118,e
2010,14,804571,e
2010,15,781069,e
2010,16,792868,e
2010,17,825751,e
2010,18,850181,e
2010,19,890525,e
2010,20,987099,e
2010,21,985334,e
2010,22,1020019,e
2010,23,1006306,e
2010,24,997233,e
2010,25,971896,e
